@RELATION medidor_um_janela_dez

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
18.678,161.876,143.198,121.407,152.537,161.876,133.859,130.746,161.876,168.102,1,0,4
161.876,143.198,121.407,152.537,161.876,133.859,130.746,161.876,168.102,130.746,1,0,4
143.198,121.407,152.537,161.876,133.859,130.746,161.876,168.102,130.746,136.972,1,0,4
121.407,152.537,161.876,133.859,130.746,161.876,168.102,130.746,136.972,161.876,1,0,4
152.537,161.876,133.859,130.746,161.876,168.102,130.746,136.972,161.876,177.441,1,0,4
161.876,133.859,130.746,161.876,168.102,130.746,136.972,161.876,177.441,140.085,1,0,4
133.859,130.746,161.876,168.102,130.746,136.972,161.876,177.441,140.085,140.085,1,0,4
164.989,174.328,121.407,196.119,115.181,189.893,133.859,161.876,161.876,149.424,1,0,4
174.328,121.407,196.119,115.181,189.893,133.859,161.876,161.876,149.424,161.876,1,0,4
121.407,196.119,115.181,189.893,133.859,161.876,161.876,149.424,161.876,168.102,1,0,4
196.119,115.181,189.893,133.859,161.876,161.876,149.424,161.876,168.102,130.746,1,0,4
115.181,189.893,133.859,161.876,161.876,149.424,161.876,168.102,130.746,168.102,1,0,4
189.893,133.859,161.876,161.876,149.424,161.876,168.102,130.746,168.102,15.565,1,0,4
133.859,161.876,161.876,149.424,161.876,168.102,130.746,168.102,15.565,252.153,1,0,4
161.876,161.876,149.424,161.876,168.102,130.746,168.102,15.565,252.153,205.458,1,0,4
161.876,149.424,161.876,168.102,130.746,168.102,15.565,252.153,205.458,183.667,1,0,4
149.424,161.876,168.102,130.746,168.102,15.565,252.153,205.458,183.667,236.588,1,0,4
161.876,168.102,130.746,168.102,15.565,252.153,205.458,183.667,236.588,18.678,1,0,4
168.102,130.746,168.102,15.565,252.153,205.458,183.667,236.588,18.678,183.667,1,0,4
130.746,168.102,15.565,252.153,205.458,183.667,236.588,18.678,183.667,196.119,1,0,4
168.102,15.565,252.153,205.458,183.667,236.588,18.678,183.667,196.119,152.537,1,0,4
15.565,252.153,205.458,183.667,236.588,18.678,183.667,196.119,152.537,18.678,1,0,4
252.153,205.458,183.667,236.588,18.678,183.667,196.119,152.537,18.678,214.797,1,0,4
205.458,183.667,236.588,18.678,183.667,196.119,152.537,18.678,214.797,15.565,1,0,4
183.667,236.588,18.678,183.667,196.119,152.537,18.678,214.797,15.565,171.215,1,0,4
236.588,18.678,183.667,196.119,152.537,18.678,214.797,15.565,171.215,152.537,1,0,4
18.678,183.667,196.119,152.537,18.678,214.797,15.565,171.215,152.537,180.554,1,0,4
183.667,196.119,152.537,18.678,214.797,15.565,171.215,152.537,180.554,174.328,1,0,4
196.119,152.537,18.678,214.797,15.565,171.215,152.537,180.554,174.328,146.311,1,0,4
152.537,18.678,214.797,15.565,171.215,152.537,180.554,174.328,146.311,189.893,1,0,4
18.678,214.797,15.565,171.215,152.537,180.554,174.328,146.311,189.893,171.215,1,0,4
214.797,15.565,171.215,152.537,180.554,174.328,146.311,189.893,171.215,143.198,1,0,4
15.565,171.215,152.537,180.554,174.328,146.311,189.893,171.215,143.198,146.311,1,0,4
171.215,152.537,180.554,174.328,146.311,189.893,171.215,143.198,146.311,146.311,1,0,4
152.537,180.554,174.328,146.311,189.893,171.215,143.198,146.311,146.311,130.746,1,0,4
180.554,174.328,146.311,189.893,171.215,143.198,146.311,146.311,130.746,133.859,1,0,4
174.328,146.311,189.893,171.215,143.198,146.311,146.311,130.746,133.859,202.345,1,0,4
146.311,189.893,171.215,143.198,146.311,146.311,130.746,133.859,202.345,130.746,1,0,4
189.893,171.215,143.198,146.311,146.311,130.746,133.859,202.345,130.746,15.565,1,0,4
171.215,143.198,146.311,146.311,130.746,133.859,202.345,130.746,15.565,136.972,1,0,4
143.198,146.311,146.311,130.746,133.859,202.345,130.746,15.565,136.972,196.119,1,0,4
146.311,146.311,130.746,133.859,202.345,130.746,15.565,136.972,196.119,130.746,1,0,4
146.311,130.746,133.859,202.345,130.746,15.565,136.972,196.119,130.746,15.565,1,0,4
130.746,133.859,202.345,130.746,15.565,136.972,196.119,130.746,15.565,174.328,1,0,4
133.859,202.345,130.746,15.565,136.972,196.119,130.746,15.565,174.328,133.859,1,0,4
202.345,130.746,15.565,136.972,196.119,130.746,15.565,174.328,133.859,164.989,1,0,4
171.215,136.972,146.311,183.667,149.424,133.859,158.763,189.893,136.972,146.311,1,0,4
136.972,146.311,183.667,149.424,133.859,158.763,189.893,136.972,146.311,189.893,1,0,4
146.311,183.667,149.424,133.859,158.763,189.893,136.972,146.311,189.893,130.746,1,0,4
183.667,149.424,133.859,158.763,189.893,136.972,146.311,189.893,130.746,161.876,1,0,4
149.424,133.859,158.763,189.893,136.972,146.311,189.893,130.746,161.876,171.215,1,0,4
133.859,158.763,189.893,136.972,146.311,189.893,130.746,161.876,171.215,133.859,1,0,4
158.763,189.893,136.972,146.311,189.893,130.746,161.876,171.215,133.859,171.215,1,0,4
189.893,136.972,146.311,189.893,130.746,161.876,171.215,133.859,171.215,161.876,1,0,4
136.972,146.311,189.893,130.746,161.876,171.215,133.859,171.215,161.876,171.215,1,0,4
146.311,189.893,130.746,161.876,171.215,133.859,171.215,161.876,171.215,158.763,1,0,4
189.893,130.746,161.876,171.215,133.859,171.215,161.876,171.215,158.763,15.565,1,0,4
130.746,161.876,171.215,133.859,171.215,161.876,171.215,158.763,15.565,99.616,1,0,4
161.876,171.215,133.859,171.215,161.876,171.215,158.763,15.565,99.616,136.972,1,0,4
171.215,133.859,171.215,161.876,171.215,158.763,15.565,99.616,136.972,168.102,1,0,4
133.859,171.215,161.876,171.215,158.763,15.565,99.616,136.972,168.102,158.763,1,0,4
171.215,161.876,171.215,158.763,15.565,99.616,136.972,168.102,158.763,140.085,1,0,4
161.876,171.215,158.763,15.565,99.616,136.972,168.102,158.763,140.085,143.198,1,0,4
171.215,158.763,15.565,99.616,136.972,168.102,158.763,140.085,143.198,118.294,1,0,4
158.763,15.565,99.616,136.972,168.102,158.763,140.085,143.198,118.294,121.407,1,0,4
15.565,99.616,136.972,168.102,158.763,140.085,143.198,118.294,121.407,15.565,1,0,4
99.616,136.972,168.102,158.763,140.085,143.198,118.294,121.407,15.565,152.537,1,0,4
136.972,168.102,158.763,140.085,143.198,118.294,121.407,15.565,152.537,87.164,1,0,4
168.102,158.763,140.085,143.198,118.294,121.407,15.565,152.537,87.164,99.616,1,0,4
158.763,140.085,143.198,118.294,121.407,15.565,152.537,87.164,99.616,118.294,1,0,4
140.085,143.198,118.294,121.407,15.565,152.537,87.164,99.616,118.294,108.955,1,0,4
