@RELATION medidor_tres_janela_quinze

@ATTRIBUTE medida_um		REAL
@ATTRIBUTE medida_dois		REAL
@ATTRIBUTE medida_tres		REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cinco		REAL
@ATTRIBUTE medida_seis		REAL
@ATTRIBUTE medida_sete		REAL
@ATTRIBUTE medida_oito		REAL
@ATTRIBUTE medida_nove		REAL
@ATTRIBUTE medida_dez		REAL
@ATTRIBUTE medida_onze		REAL
@ATTRIBUTE medida_doze		REAL
@ATTRIBUTE medida_treze		REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,1,0,4
235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,1,0,4
231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,1,0,4
229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,1,0,4
171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,1,0,4
171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,1,0,4
169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,1,0,4
124.300,136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,1,0,4
136.400,190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,1,0,4
190.300,143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,205.700,1,0,4
143.000,137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,205.700,135.300,1,0,4
137.500,233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,205.700,135.300,136.400,1,0,4
233.200,177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,205.700,135.300,136.400,191.400,1,0,4
177.100,185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,205.700,135.300,136.400,191.400,157.300,1,0,4
185.900,171.600,137.500,200.200,151.800,135.300,209.000,140.800,140.800,205.700,135.300,136.400,191.400,157.300,135.300,1,0,4
181.500,165.000,138.600,172.700,171.600,134.200,171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,1,0,4
165.000,138.600,172.700,171.600,134.200,171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,1,0,4
138.600,172.700,171.600,134.200,171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,1,0,4
172.700,171.600,134.200,171.600,172.700,134.200,162.800,179.300,133.100,171.600,218.900,151.800,239.800,166.100,180.400,1,0,4
