@RELATION medidor_dois_janela_quinze

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE medida_dez	REAL
@ATTRIBUTE medida_onze	REAL
@ATTRIBUTE medida_doze	REAL
@ATTRIBUTE medida_treze	REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,43.582,71.599,49.808,65.373,68.486,43.582,1,0,4
74.712,49.808,74.712,77.825,37.356,71.599,49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,1,0,4
49.808,74.712,77.825,37.356,71.599,49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,1,0,4
74.712,77.825,37.356,71.599,49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,1,0,4
77.825,37.356,71.599,49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,1,0,4
37.356,71.599,49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,1,0,4
71.599,49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,1,0,4
49.808,6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,1,0,4
6.226,71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,1,0,4
71.599,40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,1,0,4
40.469,74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,1,0,4
74.712,52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,1,0,4
52.921,68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,1,0,4
68.486,65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,1,0,4
65.373,49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,1,0,4
49.808,65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,1,0,4
65.373,52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,1,0,4
52.921,49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,1,0,4
49.808,65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,1,0,4
65.373,52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,1,0,4
52.921,49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,1,0,4
49.808,6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,1,0,4
6.226,49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,1,0,4
49.808,49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,1,0,4
49.808,59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,1,0,4
59.147,37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,1,0,4
37.356,68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,1,0,4
68.486,49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,1,0,4
49.808,46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,1,0,4
46.695,68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,49.808,1,0,4
68.486,56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,49.808,65.373,1,0,4
56.034,49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,49.808,65.373,46.695,1,0,4
49.808,56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,49.808,65.373,46.695,52.921,1,0,4
56.034,56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,49.808,65.373,46.695,52.921,65.373,1,0,4
56.034,43.582,6.226,52.921,49.808,59.147,49.808,65.373,59.147,49.808,65.373,46.695,52.921,65.373,52.921,1,0,4
52.921,6.226,68.486,49.808,68.486,46.695,65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,1,0,4
6.226,68.486,49.808,68.486,46.695,65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,1,0,4
68.486,49.808,68.486,46.695,65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,1,0,4
49.808,68.486,46.695,65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,1,0,4
68.486,46.695,65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,1,0,4
46.695,65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,1,0,4
65.373,68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,1,0,4
68.486,46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,1,0,4
46.695,59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,1,0,4
59.147,59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,1,0,4
59.147,59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,1,0,4
59.147,77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,1,0,4
77.825,49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,1,0,4
49.808,6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,1,0,4
6.226,56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,1,0,4
56.034,49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,1,0,4
49.808,65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,1,0,4
65.373,40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,1,0,4
40.469,6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,52.921,1,0,4
6.226,43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,52.921,43.582,1,0,4
43.582,56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,52.921,43.582,71.599,1,0,4
56.034,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,52.921,43.582,71.599,52.921,1,0,4
49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,52.921,43.582,71.599,52.921,43.582,1,0,4
49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,49.808,52.921,43.582,71.599,52.921,43.582,68.486,1,0,4
